,POSTE_ID,DATECOM,DIRECTION,VEHICULE,P00_01,P01_02,P02_03,P03_04,P04_05,P05_06,P06_07,P07_08,P08_09,P09_10,P10_11,P11_12,P12_13,P13_14,P14_15,P15_16,P16_17,P17_18,P18_19,P19_20,P20_21,P21_22,P22_23,P23_24,SUM_TRAF,LOCALITE,ROUTE,SENS,D1,D2,COORD_X,COORD_Y,MORNING_HOURS,EVENING_HOURS
25,401,2020-01-18,3,C,3,2,2,4,6,2,22,18,17,15,20,24,20,16,17,20,15,16,16,13,14,6,9,9,306,HEISDORF,N7,Bofferdange <-> Helmsange deux sens ,Bofferdange,Helmsange,77717.0,82009.0,50,47
26,403,2020-01-18,3,C,4,1,2,3,4,4,9,17,11,13,15,15,11,10,15,13,14,10,9,10,7,3,7,4,211,DOMMELDANGE,N11,Waldhof <-> Eich deux sens ,Waldhof,Eich,78558.0,78125.0,41,33
27,405,2020-01-18,3,C,4,3,1,4,0,7,13,31,20,12,17,16,16,18,12,16,17,17,15,14,12,9,6,6,286,KOPSTAL,N12,Kopstal <-> Luxembourg deux sens ,Kopstal,Luxembourg,73041.125,80599.945,63,49
28,406,2020-01-18,3,C,0,3,3,2,6,5,8,5,6,1,11,11,3,5,6,7,3,7,3,4,2,2,0,0,103,SCHOENFELS,CR102,Mersch <-> Schoenfels deux sens ,Mersch,Schoenfels,74880.55,88877.625,12,13
29,413,2020-01-18,3,C,6,7,4,6,11,19,19,26,27,33,31,21,23,25,25,15,21,20,21,14,15,12,12,10,423,MAMER ,N6,Mamer <-> Strassen deux sens ,Mamer,Strassen,70278.65,76882.81,86,62
30,414,2020-01-18,3,C,5,0,4,3,4,14,16,21,19,13,13,18,11,15,19,21,13,8,10,10,9,8,9,4,267,KEHLEN,CR102,Kehlen <-> Quatre-Vents deux sens ,Kehlen,Quatre-Vents,70521.94,81870.375,53,31
31,415,2020-01-18,3,C,1,1,0,0,1,6,6,19,12,8,7,5,6,3,10,4,5,1,1,2,0,1,1,1,101,BIERGERKRAIZ,CR181,Bereldange <-> Biergerkraiz deux sens ,Bereldange,Biergerkraiz,75254.0,79109.0,39,7
32,416,2020-01-18,3,C,0,1,0,0,2,9,9,28,11,13,7,10,8,5,12,14,7,1,3,2,4,1,2,3,152,BRIDEL,CR181,Bridel <-> Strassen deux sens ,Bridel,Strassen,73359.48,79379.484,52,11
33,417,2020-01-18,3,C,0,1,4,2,3,4,6,5,9,7,4,8,4,3,4,5,1,2,1,2,0,1,1,0,77,KEISPELT,CR102,Schoenfels <-> Keispelt deux sens ,Schoenfels,Keispelt,73021.0,84742.0,21,4
34,419,2020-01-18,3,C,0,1,0,2,0,0,0,6,3,4,8,8,6,6,7,6,2,6,2,1,1,1,0,0,70,KOPSTAL,CR101,Schoenfels <-> Kopstal deux sens ,Schoenfels,Kopstal,73115.695,81557.31,13,10
35,420,2020-01-18,3,C,4,2,0,9,5,15,7,16,8,9,8,7,4,8,4,5,12,8,3,3,2,2,6,12,159,BERTRANGE,N34,Bertrange <-> Z.I. Bourmicht deux sens ,Bertrange,Z.I. Bourmicht,72823.914,75351.734,33,23
36,421,2020-01-18,3,C,0,0,0,0,1,0,0,0,2,3,1,1,0,1,0,3,3,1,1,1,0,0,1,1,20,KOPSTAL,CR101,Kopstal <-> Mamer deux sens ,Kopstal,Mamer,72678.195,80365.27,5,5
37,422,2020-01-18,3,C,1,0,0,0,1,0,5,4,1,3,4,8,1,1,2,1,0,1,1,1,0,0,0,2,37,ITZIG,CR159,Itzig <-> Sandweiler deux sens ,Itzig,Sandweiler,80435.78,72686.32,8,2
38,423,2020-01-18,3,C,0,0,0,2,1,0,1,4,11,3,4,4,4,7,1,1,1,0,0,0,0,4,1,0,49,CONTERN,CR226,Itzig <-> Contern deux sens ,Itzig,Contern,83415.41,72685.97,18,1
39,424,2020-01-18,3,C,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,4,CONTERN,CR226,Syren <-> Contern deux sens ,Syren,Contern,84006.48,71656.95,2,1
40,425,2020-01-18,3,C,4,0,2,1,6,4,17,7,9,8,10,7,11,5,8,7,9,8,6,5,8,7,5,7,161,MUNSBACH,CR132,Munsbach <-> Niederanven deux sens ,Munsbach,Niederanven,87232.05,78007.11,24,23
41,426,2020-01-18,3,C,4,0,2,2,3,7,12,17,18,12,13,13,13,11,12,13,12,14,10,8,8,10,6,7,227,SENNINGERBERG,CR126,Senningerberg <-> Findel deux sens ,Senningerberg,Findel,84038.0,79207.0,47,36
42,427,2020-01-18,3,C,0,0,0,0,1,1,1,3,4,3,4,1,2,0,1,3,0,1,0,0,1,1,1,0,28,WALDHOF,CR126,Waldhof <-> Rammeldange deux sens ,Waldhof,Rammeldange,82162.39,80430.805,10,1
43,432,2020-01-18,3,C,1,3,1,3,1,6,13,20,13,19,20,11,10,15,11,14,15,17,10,11,9,9,7,6,245,SANDWEILER,N2,Moutfort <-> Hamm deux sens ,Moutfort,Hamm,83141.0,75772.0,52,42
44,433,2020-01-18,3,C,6,5,3,2,5,11,9,11,11,16,17,12,15,6,8,8,9,13,9,6,10,5,5,8,210,SANDWEILER,N2,Oetrange <-> Hamm deux sens ,Oetrange,Hamm,84370.26,74929.016,38,31
45,446,2020-01-18,3,C,1,1,0,4,6,7,15,23,19,24,21,18,14,19,9,17,13,14,14,14,6,6,4,3,272,SCHLAMMESTE,N3,Frisange <-> Alzingen deux sens ,Frisange,Alzingen,80616.65,67187.47,66,41
46,448,2020-01-18,3,C,1,0,2,3,5,5,9,14,6,12,13,11,14,16,17,13,16,10,15,10,6,7,6,4,215,SELZ,N17,Tandel <-> Bleesbréck deux sens ,Tandel,Bleesbréck,81468.414,104916.64,32,41
47,449,2020-01-18,3,C,3,2,3,8,10,13,26,24,19,23,38,26,21,24,25,26,21,22,26,23,17,13,18,6,437,BLEESBRECK,N17,Bleesbréck <-> Diekirch deux sens ,Bleesbréck,Diekirch,81229.69,104020.695,66,69
48,450,2020-01-18,3,C,2,4,0,1,4,7,11,13,13,16,23,15,13,10,18,11,9,11,13,12,13,7,10,3,239,BLEESBRECK,N19,Reisdorf <-> Bleesbréck deux sens ,Reisdorf,Bleesbréck,81692.11,104206.2,42,33
49,452,2020-01-18,3,C,0,0,0,4,1,7,8,5,6,10,21,11,7,6,11,9,3,5,8,6,3,5,2,2,140,FRIDHAFF,N7,Fridhaff <-> Diekirch deux sens ,Fridhaff,Diekirch,78950.55,104686.45,21,16
50,453,2020-01-18,3,C,6,5,2,12,15,14,24,28,34,47,41,31,16,16,23,26,16,18,17,13,6,4,2,0,416,FRIDHAFF,N27A,Fridhaff <-> Ettelbruck deux sens ,Fridhaff,Ettelbruck,77553.01,105087.97,109,51
51,454,2020-01-18,3,C,6,6,3,15,16,18,26,31,36,37,45,34,23,26,26,38,22,36,30,15,8,4,7,5,513,FRIDHAFF,N7,Hoscheid <-> Fridhaff deux sens ,Hoscheid,Fridhaff,77637.0,106186.0,104,88
52,455,2020-01-18,3,C,0,1,1,1,1,1,0,0,0,2,1,5,0,0,0,0,2,0,4,1,0,0,1,1,22,MUELLENDORF,CR123,Muellendorf <-> Huensdorf deux sens ,Muellendorf,Huensdorf,77294.0,83437.0,2,6
53,456,2020-01-18,3,C,3,1,1,1,1,3,6,7,11,11,13,17,12,10,10,11,11,12,10,10,9,6,5,5,186,HEISDORF,CR124,Heisdorf <-> Muellendorf deux sens ,Heisdorf,Muellendorf,77493.0,82563.0,29,33
54,457,2020-01-18,3,C,2,0,0,0,2,3,6,6,5,8,7,8,7,6,6,7,7,7,6,9,10,3,2,0,117,BERELDANGE,CR123,Bereldange <-> Steinsel deux sens ,Bereldange,Steinsel,76733.0,80795.0,19,20
55,458,2020-01-18,3,C,0,0,0,0,1,1,0,1,2,1,2,2,0,1,2,2,1,1,0,0,0,1,1,0,19,HELMSANGE,CR125,Staffelstein <-> Helmsange deux sens ,Staffelstein,Helmsange,78296.0,80609.0,4,2
56,459,2020-01-18,3,C,5,2,1,1,11,14,12,8,10,8,7,10,7,6,6,4,13,8,6,9,8,8,2,4,170,CANACH,CR144,Oetrange <-> Canach deux sens ,Oetrange,Canach,90560.0,74802.0,26,27
57,460,2020-01-18,3,C,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,7,OETRANGE-BOUS,N28,Bous <-> Oetrange deux sens ,Bous,Oetrange,89401.55,71297.25,2,2
58,463,2020-01-18,3,C,1,3,2,4,7,7,22,16,13,13,14,19,19,14,21,14,15,16,16,13,16,3,4,1,273,ELLANGE,N16,Mondorf (A13) <-> Ellange deux sens ,Mondorf (A13),Ellange,89819.75,64515.914,42,47
59,464,2020-01-18,3,C,0,0,0,0,1,3,1,2,2,3,6,1,2,4,5,2,3,1,0,0,2,1,0,0,39,SCHENGEN Giratoire,N10,Remich <-> Schengen deux sens ,Remich,Schengen,94124.73,60879.266,7,4
60,465,2020-01-18,3,C,0,0,1,0,1,3,5,6,3,6,7,4,4,5,6,6,3,3,5,3,4,1,0,0,76,SCHENGEN Giratoire,CR152,Schengen <-> Remerschen deux sens ,Schengen,Remerschen,93907.336,60955.94,15,11
61,469,2020-01-18,3,C,10,13,11,12,30,32,25,41,46,39,45,37,27,35,18,24,17,16,6,8,8,7,7,10,524,WINDHOF,N13,Windhof <-> Garnich (A6) deux sens ,Windhof,Garnich (A6),64673.805,78754.23,126,39
62,470,2020-01-18,3,C,3,1,3,1,6,9,7,12,16,8,11,8,8,3,3,5,5,3,1,1,2,1,1,1,119,GARNICH,N13,Windhof A6 <-> Garnich deux sens ,Windhof A6,Garnich,64367.84,76355.555,36,9
63,473,2020-01-18,3,C,0,1,3,2,6,5,7,6,8,5,9,6,8,2,7,4,3,4,4,3,1,3,1,5,103,BOUS,N2,Remich <-> Bous deux sens ,Remich,Bous,91325.17,68727.45,19,11
64,474,2020-01-18,3,C,0,0,3,1,0,3,3,4,8,13,8,11,8,9,7,6,6,5,8,5,3,3,0,0,114,HETTERMILLEN,N10,Ehnen <-> Hettermillen deux sens ,Ehnen,Hettermillen,94853.0,72820.0,25,19
65,479,2020-01-18,3,C,0,4,3,2,6,4,6,7,9,8,9,9,10,5,9,7,6,6,6,4,3,3,3,4,133,TRINTANGE,N2,Assel <-> Moutfort deux sens ,Assel,Moutfort,88217.68,70739.516,24,18
66,481,2020-01-18,3,C,4,2,0,0,1,5,4,7,7,3,9,12,7,10,6,6,13,3,2,5,10,3,5,5,129,OETRANGE,N28,Sandweiler <-> Oetrange deux sens ,Sandweiler,Oetrange,86217.73,74027.78,17,18
67,483,2020-01-18,3,C,0,1,0,3,0,6,15,12,14,15,10,13,13,13,10,9,8,14,7,6,6,2,2,4,183,ASPELT,N16,Mondorf <-> Aspelt deux sens ,Mondorf,Aspelt,84357.21,64987.043,41,29
68,484,2020-01-18,3,C,0,1,1,1,1,0,2,8,1,10,6,7,6,7,11,6,4,4,1,1,3,1,1,1,84,HELLANGE,N13,Hellange <-> Frisange deux sens ,Hellange,Frisange,79224.34,63937.664,19,9
69,485,2020-01-18,3,C,3,2,2,3,3,7,8,9,13,12,11,10,9,11,8,8,10,12,9,9,4,2,4,2,171,DUDELANGE-KAYL,N31,Kayl <-> Dudelange deux sens ,Kayl,Dudelange,72739.43,61260.1,34,31
70,486,2020-01-18,3,C,10,6,5,9,5,15,25,18,18,14,17,16,15,19,15,13,11,13,14,13,13,14,10,13,321,ESCH-SUR-ALZETTE,N4,Esch-Belval <-> Esch-Centre deux sens ,Esch-Belval,Esch-Centre,66402.57,61767.566,50,38
71,487,2020-01-18,3,C,3,2,2,8,4,5,9,14,16,12,14,12,13,12,14,11,9,16,9,6,7,3,4,3,208,ESCH-SUR-ALZETTE,N31,Esch-sur-Alzette <-> Kayl-Poteau deux sens ,Esch-sur-Alzette,Kayl-Poteau,67438.54,61933.023,42,34
72,488,2020-01-18,3,C,1,2,2,7,2,4,5,11,13,9,13,13,11,9,12,11,7,10,10,6,6,2,3,3,172,RUMELANGE,N33,Rumelange <-> Kayl-Poteau deux sens ,Rumelange,Kayl-Poteau,68581.734,59217.008,33,27
73,492,2020-01-18,3,C,3,1,1,1,4,5,7,11,9,10,11,13,7,10,6,11,7,9,6,3,5,3,4,1,148,BLUMENTHAL,N14,Graulinster <-> Reuland deux sens ,Graulinster,Reuland,87034.516,90015.64,30,22
74,495,2020-01-18,3,C,1,0,0,2,3,2,9,10,11,16,10,9,10,11,6,12,9,9,9,9,4,3,3,0,158,RECKANGE,N8,Brouch <-> Reckange deux sens ,Brouch,Reckange,73345.1,90757.43,37,27
75,498,2020-01-18,3,C,1,1,2,7,4,12,8,8,11,15,9,10,1,2,3,3,6,7,2,5,0,2,0,0,119,BASCHARAGE,N31,Biff <-> Niedercorn deux sens ,Biff,Niedercorn,60394.312,69204.414,34,15
76,503,2020-01-18,3,C,0,1,1,1,1,1,0,0,0,0,1,2,0,2,0,1,0,0,0,0,0,0,1,0,12,LORENTZWEILER,CR122,Huensdorf <-> Lorentzweiler deux sens ,Huensdorf,Lorentzweiler,77852.89,85039.0,0,0
77,504,2020-01-18,3,C,0,2,2,2,2,1,1,0,1,3,1,0,2,2,0,1,0,0,1,0,1,0,2,2,26,BLASCHETTE,CR122,Blaschette <-> Lorentzweiler deux sens ,Blaschette,Lorentzweiler,79707.0,85291.0,4,1
78,505,2020-01-18,3,C,3,4,1,7,6,14,28,23,19,23,22,20,28,20,21,16,20,18,18,19,16,9,13,13,381,LORENTZWEILER,N7,Lorentzweiler <-> A7 deux sens ,Lorentzweiler,A7,77847.0,85564.0,65,56
79,506,2020-01-18,3,C,0,1,0,3,3,0,2,2,9,10,9,7,7,7,6,5,3,4,3,2,0,2,2,1,88,MERSCH,CR102,Mersch <-> A7 Schoenfels deux sens ,Mersch,A7 Schoenfels,74824.0,89523.0,21,10
80,508,2020-01-18,3,C,2,1,2,2,2,4,11,11,16,14,9,13,10,7,7,7,5,5,5,9,3,3,1,2,151,MERSCH,N8,Mersch <-> A7 deux sens ,Mersch,A7,74645.0,90828.0,41,15
81,509,2020-01-18,3,C,2,0,0,4,3,3,12,15,16,24,14,10,17,7,10,17,14,10,11,10,5,2,2,1,209,RECKANGE,N8,A7 <-> Reckange deux sens ,A7,Reckange,74281.0,90838.0,55,35
82,510,2020-01-18,3,C,2,1,1,2,5,9,14,16,17,14,14,9,10,13,18,10,10,11,8,6,5,6,7,4,212,LINTGEN,N7,Lintgen <-> A7 deux sens ,Lintgen,A7,77034.0,86861.0,47,29
83,520,2020-01-18,3,C,1,0,1,1,3,7,11,12,14,12,14,9,11,15,14,10,9,11,7,5,4,5,8,5,189,ROLLINGEN,N7,Mersch <-> Lintgen deux sens ,Mersch,Lintgen,76360.086,88875.28,38,27
84,525,2020-01-18,3,C,1,0,0,2,1,1,5,6,6,5,4,7,3,7,3,5,5,5,5,2,3,2,1,2,81,ANGELSBERG,CR118,Larochette <-> Mersch deux sens ,Larochette,Mersch,79535.66,92442.2,17,15
85,602,2020-01-18,3,C,6,3,4,6,10,13,22,24,26,22,22,26,18,18,14,15,15,19,17,25,7,4,1,2,339,WEISWAMPACH,N7,Wemperhardt <-> Weiswampach deux sens ,Wemperhardt,Weiswampach,72299.13,134843.62,72,51
86,604,2020-01-18,3,C,3,0,2,2,3,4,9,14,11,14,14,12,8,11,8,9,7,8,5,6,2,0,1,2,155,TROISVIERGES,N12,Wilwerdange <-> Asselborn deux sens ,Wilwerdange,Asselborn,68095.63,132528.28,39,20
87,610,2020-01-18,3,C,2,6,2,15,11,14,24,29,26,30,32,30,18,12,19,17,15,17,18,12,6,5,3,0,363,DICKT,N7,Hosingen <-> Hoscheid deux sens ,Hosingen,Hoscheid,74344.13,114997.33,85,50
88,708,2020-01-18,3,C,2,1,0,4,4,4,11,8,12,12,11,8,8,6,5,11,17,8,6,5,2,3,2,3,153,MERTZIG,N21,Feulen <-> Mertzig deux sens ,Feulen,Mertzig,68947.51,100496.57,32,31
89,710,2020-01-18,3,C,6,7,5,8,17,24,46,26,27,2,2,3,1,1,6,4,5,11,12,8,5,5,7,1,239,ETTELBRUCK CONT.,B7,Friedhaff <-> Ettelbruck deux sens ,Friedhaff,Ettelbruck,75172.06,100627.21,55,28
90,711,2020-01-18,3,C,2,1,0,1,2,7,8,12,36,51,47,52,35,36,36,40,28,14,15,10,11,8,5,6,463,SCHIEREN,N7,Ettelbruck <-> Colmar deux sens ,Ettelbruck,Colmar,74927.53,100060.695,99,57
91,712,2020-01-18,3,C,3,4,0,1,1,6,10,11,11,10,16,14,8,14,13,12,9,8,11,8,1,6,7,4,188,WARKEN,CR348,Buerden <-> Ettelbruck deux sens ,Buerden,Ettelbruck,74576.27,102224.555,32,28
92,716,2020-01-18,3,C,5,2,0,2,9,18,34,28,32,47,54,50,48,32,32,47,41,23,22,18,9,11,13,5,582,ETTELBRUCK,N7,Ettelbruck <-> Diekirch deux sens ,Ettelbruck,Diekirch,76330.8,101746.24,107,86
93,724,2020-01-18,3,C,0,1,1,2,1,11,11,11,14,15,15,17,10,17,15,16,13,14,10,8,7,6,5,4,224,MEDERNACH-LAROCHETTE,N14,Larochette <-> Medernach deux sens ,Larochette,Medernach,83536.74,96383.305,40,37
94,805,2020-01-18,3,C,0,2,1,1,1,4,5,13,7,12,16,16,10,11,9,16,12,10,9,7,5,5,2,4,178,REDANGE,N22,Reichlange <-> Redange deux sens ,Reichlange,Redange,62433.26,93397.71,32,31
95,807,2020-01-18,3,C,0,2,1,2,1,6,8,15,14,14,20,23,12,13,17,14,16,16,14,9,4,6,3,4,234,REICHLANGE,N12,Reichlange <-> Bettborn deux sens ,Reichlange,Bettborn,62549.984,93523.484,43,46
96,809,2020-01-18,3,C,0,1,0,0,1,2,5,5,7,7,4,6,7,8,7,5,4,5,3,2,2,0,1,1,83,REICHLANGE,N23,Reichlange <-> Rambrouch deux sens ,Reichlange,Rambrouch,62256.12,93684.695,19,12
97,811,2020-01-18,3,C,0,2,2,0,0,3,7,8,9,6,9,7,4,8,10,9,6,5,5,5,4,6,4,1,120,RIPPWEILER,N24,Noerdange <-> Useldange deux sens ,Noerdange,Useldange,64934.914,91119.266,23,16
98,813,2020-01-18,3,C,1,2,2,0,0,2,3,4,4,6,5,5,1,4,6,6,2,3,3,3,1,4,2,0,69,RIPPWEILER,N24,Noerdange <-> Useldange deux sens ,Noerdange,Useldange,65143.75,91246.97,14,8
99,816,2020-01-18,3,C,0,1,0,1,0,7,15,12,17,20,8,9,9,11,9,8,11,11,8,5,3,3,2,2,172,RIPPWEILER,N12,Reichlange <-> Saeul deux sens ,Reichlange,Saeul,65140.598,91118.45,49,30
100,818,2020-01-18,3,C,0,2,0,1,1,3,9,13,10,15,9,9,10,9,7,11,10,8,10,5,6,5,3,2,158,SAEUL,N12,Tuntange <-> Saeul deux sens ,Tuntange,Saeul,68143.06,87308.63,38,28
101,820,2020-01-18,3,C,0,2,3,1,2,5,9,6,14,8,14,13,14,6,8,6,6,8,7,7,6,6,1,2,154,RIESENHOF,N23,Martelange <-> Koetschette deux sens ,Martelange,Koetschette,54420.99,100762.33,28,21
102,822,2020-01-18,3,C,0,1,0,0,0,0,0,4,2,3,4,4,0,0,4,3,5,1,1,0,2,0,1,0,35,GROSBOUS,N12,Grosbous <-> Hierheck deux sens ,Grosbous,Hierheck,65234.676,99642.78,9,7
103,902,2020-01-18,3,C,1,0,3,5,3,5,13,14,14,20,20,15,14,9,17,9,12,11,14,4,2,1,1,0,207,CLERVAUX,N18,Marnach <-> Antoniushof deux sens ,Marnach,Antoniushof,69742.12,124931.14,48,37
104,905,2020-01-18,3,C,2,0,1,5,6,12,18,25,23,13,15,16,14,16,13,18,26,14,10,9,5,8,5,0,274,NIEDERFEULEN,N15,Feulen <-> Ettelbruck deux sens ,Feulen,Ettelbruck,72442.53,101794.555,61,50
105,908,2020-01-18,3,C,3,1,3,3,3,13,14,14,14,16,17,10,18,9,12,13,12,18,7,10,10,6,9,7,242,BETTEMBOURG,N13,Bettembourg <-> Fennange deux sens ,Bettembourg,Fennange,74808.01,64802.297,44,37
106,909,2020-01-18,3,C,1,2,2,4,4,6,8,12,14,14,13,9,11,10,12,12,12,14,9,11,7,3,4,3,197,TETANGE,N33,Rumelange <-> Kayl deux sens ,Rumelange,Kayl,70816.64,60129.043,40,35
107,923,2020-01-18,3,C,3,4,2,3,8,6,9,16,16,14,13,14,16,7,15,14,10,9,8,8,8,4,5,0,212,HEISCHTERGRONN,N15,Wiltz <-> Heischtergronn deux sens ,Wiltz,Heischtergronn,64322.06,108502.195,46,27
108,926,2020-01-18,3,C,3,2,2,4,4,6,14,12,13,20,15,13,9,14,14,12,11,12,9,10,11,10,8,10,238,ESCH-ALZETTE,N4,Lallange <-> Esch-Alzette deux sens ,Lallange,Esch-Alzette,66852.0,62961.0,45,32
109,927,2020-01-18,3,C,0,0,1,1,2,2,2,7,7,12,13,10,2,5,4,4,1,0,2,0,1,1,0,1,78,WICKRANGE,N13,Wickrange <-> Pontpierre deux sens ,Wickrange,Pontpierre,69445.73,67176.516,26,3
